category,id,name,faction_or_family,operational_role,historical_or_civil_origin,mechanic_or_present_function,political_or_moral_tension,canonical_document,retrofit_status
vigil_chassis,mender,Restorer,service,"Field repair, triage, and continuity maintenance unit",Old Weather legacy maintenance and enforcement,"Healing is its original purpose, not a combat spell.",It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,cluster,Divider,service,Workload-distribution chassis that splits into specialized fragments,Old Weather legacy maintenance and enforcement,Division turns one broad maintenance task into several local bodies.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,spawnling,Fragment,service,A child task-instance shed by a larger Divider or Carrier,Old Weather legacy maintenance and enforcement,It inherits one instruction and almost no context.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,juggernaut,Ironmarch,containment,Heavy transport and catastrophe-clearance platform,Old Weather legacy maintenance and enforcement,High lives-cost reflects a frame designed to cross a whole jurisdiction intact.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,jammer,Interdictor,access,Safety transmitter that denies unauthorized remote control,Old Weather legacy maintenance and enforcement,"Jamming is a permissions response, not electronic malice.",It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,blink,Phase Courier,access,Sealed dispatch unit using discontinuous Lattice routing,Old Weather legacy maintenance and enforcement,Teleportation is a transit privilege preserved after the institution that granted it vanished.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,warden,Warden,continuity,Senior jurisdiction guardian with control-resistant authority,Old Weather legacy maintenance and enforcement,It was built to keep operating when local systems failed or were compromised.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,wraith,Ghost Chassis,access,Inspection body that alternates between material and noetic state,Old Weather legacy maintenance and enforcement,Phasing lets it cross sealed industrial volumes without opening them.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,nullifier,Nullifier,access,Emergency diagnostic frame that suppresses nonessential functions,Old Weather legacy maintenance and enforcement,It reduces systems to minimum safe behavior so faults can be isolated.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,revenant,Reconstructor,continuity,Approved-state recovery chassis,Old Weather legacy maintenance and enforcement,"Revival restores the last valid record, raising the question of whether the returned instance is the same person.",It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,carrier,Foundry Carrier,service,Mobile fabrication and replacement-body transport,Old Weather legacy maintenance and enforcement,Summoning is manufacturing performed under a still-valid emergency order.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,warchief,Marshal Pylon,command,Publishes aggressive emergency priority to nearby frames,Old Weather legacy maintenance and enforcement,Its frenzy aura is a civil disaster mode repurposed by war.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,anchorite,Anchor Pylon,command,"Stabilizes position, mass, and routing around critical work",Old Weather legacy maintenance and enforcement,Displacement resistance is literally its reason to exist.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,herald,Cadence Pylon,command,Synchronizes movement and work cycles across a jurisdiction,Old Weather legacy maintenance and enforcement,Haste is an inherited scheduling command.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,bastion,Bastion Pylon,command,Distributes structural reinforcement to subordinate frames,Old Weather legacy maintenance and enforcement,Armor aura once kept repair teams alive inside collapsing infrastructure.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,mb_colossus,COLOSSUS,catastrophe,Massive structural-rescue and planetary-defense frame,Old Weather legacy maintenance and enforcement,A miniboss because its emergency authority overrides ordinary control.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,mb_seraph,VESPER,catastrophe,Low-observability night and sensor-denial response frame,Old Weather legacy maintenance and enforcement,"Its identity should center on uncertainty, concealment, and denied targeting.",It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,mb_hydra,MYRIAD,catastrophe,Distributed replication emergency with many valid bodies,Old Weather legacy maintenance and enforcement,Its threat is not one strong unit but the jurisdiction treating multiplicity as continuity.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,mb_oracle,ORACLE,catastrophe,Predictive hazard-management intelligence,Old Weather legacy maintenance and enforcement,"It acts on expected future damage, creating the appearance of foreknowledge.",It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,mb_lich,RECLAIMER,catastrophe,Emergency salvage and mission-recovery engine,Old Weather legacy maintenance and enforcement,It treats destroyed systems as material that has not yet been reassigned.,It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
vigil_chassis,harbinger,HARBINGER,catastrophe,Supreme extinction-level enforcement frame,Old Weather legacy maintenance and enforcement,"The boss is a warning protocol made physical: if it appears, the jurisdiction believes ordinary governance has failed.",It follows authentic but context-damaged law.,docs/game/troops-and-vigil.md,canon-mapped
battlefield,spine,THE SPINE,authored,Barren survey trunk,Source-Lattice jurisdiction or infrastructure scar,A surviving linear Lattice backbone used to teach new commanders the clean geometry of jurisdiction.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,delta,THE DELTA,authored,Flooded pelagic distributor,Source-Lattice jurisdiction or infrastructure scar,Two isolated channels built around an Old Weather water-management bank.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,narrows,THE NARROWS,authored,Collapsed transit choke,Source-Lattice jurisdiction or infrastructure scar,Three surviving emplacement alcoves force local defense without mutual support.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,shattered,SHATTERED,authored,Severance fracture field,Source-Lattice jurisdiction or infrastructure scar,The ground is broken into isolated islands by an ancient gate-shear event.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,crossroads,CROSSROADS,authored,Dual route interchange,Source-Lattice jurisdiction or infrastructure scar,Two claims and two lanes cross around a monument whose original authority is no longer recognized.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,coil,THE COIL,authored,Reactor cooling loop,Source-Lattice jurisdiction or infrastructure scar,"A closed industrial circuit where heat, pursuit, and return paths overlap.","Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,expanse,THE EXPANSE,authored,Open receiver plain,Source-Lattice jurisdiction or infrastructure scar,An exposed survey array with almost no natural cover and unusually long sightlines.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,rift,THE RIFT,authored,Unstable gate shear,Source-Lattice jurisdiction or infrastructure scar,A broken translation channel that creates discontinuous threat geometry.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,confluence,CONFLUENCE,authored,Three-party jurisdiction junction,Source-Lattice jurisdiction or infrastructure scar,Three command records are simultaneously valid and none can erase the others.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,crown,THE CROWN,authored,Ceremonial command ring,Source-Lattice jurisdiction or infrastructure scar,An old authority node designed to place every claimant under observation.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,carousel,CAROUSEL,authored,Rotating route scheduler,Source-Lattice jurisdiction or infrastructure scar,Traffic was once assigned dynamically; modern commanders experience it as shifting pressure.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,orrery,THE ORRERY,authored,Navigation model made battlefield,Source-Lattice jurisdiction or infrastructure scar,A physical model of local orbital and gate relationships that still controls access.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,lattice,THE LATTICE,authored,Exposed network mesh,Source-Lattice jurisdiction or infrastructure scar,The underlying connection graph is visible enough that placement becomes constitutional topology.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,causeway,THE CAUSEWAY,authored,Archive bridge,Source-Lattice jurisdiction or infrastructure scar,A narrow connection between separated jurisdictions whose loss would erase lawful continuity.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,anvil,THE ANVIL,authored,Foundry plate,Source-Lattice jurisdiction or infrastructure scar,A Machine industrial foundation built to survive impacts and continuous heavy manufacture.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,lance,THE LANCE,authored,Long beamline corridor,Source-Lattice jurisdiction or infrastructure scar,An accelerator and calibration route that rewards exact range and alignment.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,skew,THE SKEW,authored,Misregistered gravity frame,Source-Lattice jurisdiction or infrastructure scar,The map and the local field disagree about straight lines.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,strait,THE STRAIT,authored,Opposed flow corridor,Source-Lattice jurisdiction or infrastructure scar,Traffic streams were designed to pass rather than fight; war turns that efficiency against itself.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,loom,THE LOOM,authored,Route-weaving control plane,Source-Lattice jurisdiction or infrastructure scar,Multiple path threads become one legal and logistical fabric.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,ossuary,THE OSSUARY,authored,State-deletion jurisdiction,Source-Lattice jurisdiction or infrastructure scar,"Its archive rejects Echo Reversal, so the dead remain dead and every kill loses strategic afterlife.","Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,atoll,THE ATOLL,authored,Ring habitat and central citadel,Source-Lattice jurisdiction or infrastructure scar,A circular settlement ecology whose center owns the life-support charter.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
battlefield,maelstrom,THE MAELSTROM,generated,Generated many-seat overload,Source-Lattice jurisdiction or infrastructure scar,A Lattice node that admits too many simultaneous claims and solves the conflict as a twenty-seat arena.,"Geometry is inherited history, not decorative terrain.",docs/game/worlds-battlefields-and-planets.md,canon-mapped
ability,overclock,OVERCLOCK,offense,Commander doctrine event,Faction command protocol,Temporarily removes Human or Machine safety governors from the command lattice.,Power reveals what the commander is willing to authorize.,docs/game/dialogue-and-character-voice.md,canon-mapped
ability,focusfire,FOCUS FIRE,offense,Commander doctrine event,Faction command protocol,Publishes one shared target solution across the entire board.,Power reveals what the commander is willing to authorize.,docs/game/dialogue-and-character-voice.md,canon-mapped
ability,zealotry,ZEALOTRY,offense,Commander doctrine event,Faction command protocol,Federation hardliners call it zeal; jurists call it temporary combat coherence under prior consent.,Power reveals what the commander is willing to authorize.,docs/game/dialogue-and-character-voice.md,canon-mapped
ability,ravenous,RAVENOUS,offense,Commander doctrine event,Faction command protocol,Deploys a Compact maw construct that turns bodies into immediate Yield.,Power reveals what the commander is willing to authorize.,docs/game/dialogue-and-character-voice.md,canon-mapped
ability,broadside,BROADSIDE,offense,Commander doctrine event,Faction command protocol,Drops a Pirate battery assembled from a ship section and local terrain.,Power reveals what the commander is willing to authorize.,docs/game/dialogue-and-character-voice.md,canon-mapped
ability,steadyaim,STEADY AIM,offense,Commander doctrine event,Faction command protocol,"Cadre standard doctrine: modest, board-wide improvement without faction-specific risk.",Power reveals what the commander is willing to authorize.,docs/game/dialogue-and-character-voice.md,canon-mapped
ability,attrite,ATTRITION FIELD,defense,Commander doctrine event,Faction command protocol,"Disrupts Echo Reversal records specifically, weakening reanimated pressure.",Power reveals what the commander is willing to authorize.,docs/game/dialogue-and-character-voice.md,canon-mapped
ability,dampen,DAMPENING FIELD,defense,Commander doctrine event,Faction command protocol,Reduces movement and offensive coherence inside the defended jurisdiction.,Power reveals what the commander is willing to authorize.,docs/game/dialogue-and-character-voice.md,canon-mapped
ability,bulwark,BULWARK,defense,Commander doctrine event,Faction command protocol,Installs a temporary lane charter that materializes as a physical wall.,Power reveals what the commander is willing to authorize.,docs/game/dialogue-and-character-voice.md,canon-mapped
ability,sanctify,SANCTIFY,defense,Commander doctrine event,Faction command protocol,Authenticates the local field and strips protections dependent on spoofed authority.,Power reveals what the commander is willing to authorize.,docs/game/dialogue-and-character-voice.md,canon-mapped
ability,consume,CONSUME,defense,Commander doctrine event,Faction command protocol,Compact emergency protocol that removes the weakest attackers and liquidates their remaining value.,Power reveals what the commander is willing to authorize.,docs/game/dialogue-and-character-voice.md,canon-mapped
ability,smokescreen,SMOKESCREEN,defense,Commander doctrine event,Faction command protocol,"Pirate concealment, local sensor denial, and pre-positioned mines.",Power reveals what the commander is willing to authorize.,docs/game/dialogue-and-character-voice.md,canon-mapped
boon,h_refit,FIELD REFIT,human,standard,Recovered institution or local strategic practice,A Human salvage charter makes the first duplicate systems cheap enough to standardize.,Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,h_lastline,LAST OF THE LINE,human,fortress,Recovered institution or local strategic practice,A defense charter converts existential pressure into concentrated combat output.,Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,h_salvage,SALVAGE RIGHTS,human,forge,Recovered institution or local strategic practice,"A legal-industrial regime allows rapid sale, reuse, and ascension of captured systems.",Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,h_hardpoints,HARD POINTS,human,nest,Recovered institution or local strategic practice,A Human foothold learns to survive Vigil disruption through redundant physical infrastructure.,Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,h_integration,INTEGRATION,human,apex,Recovered institution or local strategic practice,"The decisive Human reward is broader doctrine, not a single alien superweapon.",Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,l_vigil,THE LONG WATCH,light,standard,Recovered institution or local strategic practice,A standing Accord relief network restores defensive depth after each survived wave.,Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,l_oath,THE OATH,light,fortress,Recovered institution or local strategic practice,A precisely scoped survival vow allows one otherwise lethal breach to be absorbed.,Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,l_reliquary,RELIQUARY,light,forge,Recovered institution or local strategic practice,Collective memory makes repeated ascension cheaper and more meaningful.,Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,l_aureole,AUREOLE,light,nest,Recovered institution or local strategic practice,Authenticated support fields extend farther and make status effects more coherent.,Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,l_eternal,ETERNAL SERVICE,light,apex,Recovered institution or local strategic practice,A deliberately controversial continuation charter strengthens echoes while exposing the danger of consent without end dates.,Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,x_digest,DIGESTION,xeno,standard,Recovered institution or local strategic practice,Each death increases the local efficiency of Compact extraction.,Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,x_carapace,CARAPACE,xeno,fortress,Recovered institution or local strategic practice,A repeatedly harvested system evolves resistance to enemy mustering.,Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,x_render,RENDERING,xeno,forge,Recovered institution or local strategic practice,"Matter, damage, death, and currency are processed through one extraction economy.",Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,x_brood,BROODSWELL,xeno,nest,Recovered institution or local strategic practice,A local brood converts surplus mass into heavier summoned bodies.,Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,x_consume,TOTAL CONSUMPTION,xeno,apex,Recovered institution or local strategic practice,The Compact identifies the largest surviving assets as the highest-value Yield.,Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,p_plunder,PLUNDER,pirate,standard,Recovered institution or local strategic practice,A route network redirects value before any state can tax or reclaim it.,Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,p_scuttle,SCUTTLE,pirate,fortress,Recovered institution or local strategic practice,Pirate law treats fixed assets as temporary and rewards rapid liquidation.,Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,p_contraband,CONTRABAND,pirate,forge,Recovered institution or local strategic practice,Unofficial supply chains make repetition cheaper than lawful procurement allows.,Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,p_dark,THE DARK ANSWERS,pirate,nest,Recovered institution or local strategic practice,Pirate navigators exploit Vigil timing and swarm paths without truly commanding them.,Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
boon,p_marque,LETTERS OF MARQUE,pirate,apex,Recovered institution or local strategic practice,Unrecognized authority becomes real when enough armed parties honor it.,Keeping the boon means adopting part of the defeated system.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
arena_modifier,swift,SWIFT CURRENT,shared,Local battlefield condition,Inherited environment or damaged infrastructure,Movement infrastructure remains overdriven; every force inherits the same acceleration risk.,Every claimant fights under the same damaged rule.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
arena_modifier,ironclad,IRONCLAD,shared,Local battlefield condition,Inherited environment or damaged infrastructure,"The jurisdiction still issues protective matter to every recognized chassis, including the Vigil.",Every claimant fights under the same damaged rule.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
arena_modifier,goldrush,GOLD RUSH,shared,Local battlefield condition,Inherited environment or damaged infrastructure,"Local salvage law pays unusually high recovery bounties, attracting commanders and scavengers alike.",Every claimant fights under the same damaged rule.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
arena_modifier,scarcity,SCARCITY,shared,Local battlefield condition,Inherited environment or damaged infrastructure,"Embargo, depletion, or broken accounting reduces what confirmed kills can recover.",Every claimant fights under the same damaged rule.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
arena_modifier,deepwar,DEEP WAR,shared,Local battlefield condition,Inherited environment or damaged infrastructure,The jurisdiction has already escalated before the commanders arrive; legacy threat assumptions begin one step higher.,Every claimant fights under the same damaged rule.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
arena_modifier,thinline,THIN LINE,shared,Local battlefield condition,Inherited environment or damaged infrastructure,"Life support, evacuation capacity, or civil legitimacy is already critically depleted.",Every claimant fights under the same damaged rule.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
arena_modifier,warchest,WAR CHEST,shared,Local battlefield condition,Inherited environment or damaged infrastructure,Competing claimants arrive with pre-positioned reserves because the worlds strategic value was known in advance.,Every claimant fights under the same damaged rule.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
arena_modifier,frenzy,FRENZY,shared,Local battlefield condition,Inherited environment or damaged infrastructure,Vigil scheduling has compressed its response intervals after repeated unauthorized access.,Every claimant fights under the same damaged rule.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
scenario,assault,ASSAULT,shared,Campaign operation,Five-Way War operational category,Seize a jurisdiction from a rival claim while the Vigil treats both sides as unauthorized.,The objective defines what the victory authorizes.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
scenario,swarm,SWARM,shared,Campaign operation,Five-Way War operational category,Contain a Vigil density surge whose maintenance logic is reproducing faster than either claimant can negotiate.,The objective defines what the victory authorizes.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
scenario,overrun,OVERRUN,shared,Campaign operation,Five-Way War operational category,Recover a collapsing node after its civil defenses and archive layers have already failed.,The objective defines what the victory authorizes.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
scenario,vigil,VIGIL / ENDLESS,shared,Campaign operation,Five-Way War operational category,Submit to an open-ended Old Weather audit in which no political victory condition is recognized.,The objective defines what the victory authorizes.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
scenario,renegade_hunt,RENEGADE HUNT,shared,Campaign operation,Five-Way War operational category,Remove an outlaw commander or corrupted claim operating under your own banners credentials.,The objective defines what the victory authorizes.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
scenario,swarm_defense,SWARM DEFENSE,shared,Campaign operation,Five-Way War operational category,Defend a world you already hold when its legacy enforcement routines reactivate.,The objective defines what the victory authorizes.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
scenario,coop_reinforcement,CO-OP REINFORCEMENT,shared,Campaign operation,Five-Way War operational category,Answer an allied request where preserving the partner matters more than replacing their claim.,The objective defines what the victory authorizes.,docs/game/boons-modifiers-and-scenarios.md,canon-mapped
